Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
535,Marco Estrada,24,WSN,NL,-0.5,0,0,,7.82,11,0,3,0,0,0,12.2,17,13,11,4,5,1,10,2,0,0,63,57,7.32,1.737,12.1,2.8,3.6,7.1,2.00,,estrama01
536,Randy Messenger,26,SEA,AL,0.2,0,0,,3.55,13,0,3,0,0,1,12.2,16,5,5,1,5,1,7,1,0,0,57,122,4.47,1.658,11.4,0.7,3.6,5.0,1.40,,messera01
537,Matt Palmer,29,SFG,NL,-0.4,0,2,.000,8.53,3,3,0,0,0,0,12.2,17,13,12,1,13,1,3,2,0,0,67,53,7.24,2.368,12.1,0.7,9.2,2.1,0.23,,palmema01
538,Jeremy Accardo,26,TOR,AL,-0.5,0,3,.000,6.57,16,0,6,0,0,4,12.1,15,10,9,1,4,2,5,1,0,1,56,66,4.59,1.541,10.9,0.7,2.9,3.6,1.25,,accarje01
539,Carlos Guevara,26,SDP,NL,-0.1,1,0,1.000,5.84,10,0,6,0,0,0,12.1,13,9,8,2,9,2,11,0,0,3,60,67,5.65,1.784,9.5,1.5,6.6,8.0,1.22,,guevaca01
540,David Pauley,25,BOS,AL,-0.6,0,1,.000,11.68,6,2,3,0,0,0,12.1,23,17,16,2,5,0,11,1,0,0,67,41,4.92,2.270,16.8,1.5,3.6,8.0,2.20,,pauleda01
541,Nick Adenhart,21,LAA,AL,-0.4,1,0,1.000,9.00,3,3,0,0,0,0,12.0,18,12,12,0,13,0,4,0,0,2,63,51,5.72,2.583,13.5,0.0,9.8,3.0,0.31,,adenhni01
542,Brandon Knight,32,NYM,NL,0.0,1,0,1.000,5.25,4,2,0,0,0,0,12.0,14,7,7,0,7,0,10,2,0,0,57,83,3.72,1.750,10.5,0.0,5.3,7.5,1.43,,knighbr01
543,Francisco Cruceta,26,DET,AL,-0.1,0,3,.000,5.40,13,0,8,0,0,0,11.2,13,8,7,2,10,1,11,0,0,3,56,85,6.05,1.971,10.0,1.5,7.7,8.5,1.10,,crucefr01
544,Philip Humber,25,MIN,AL,0.1,0,0,,4.63,5,0,2,0,0,0,11.2,11,6,6,4,5,0,6,1,0,0,50,93,8.10,1.371,8.5,3.1,3.9,4.6,1.20,,humbeph01
545,Tommy Hunter,21,TEX,AL,-0.8,0,2,.000,16.36,3,3,0,0,0,0,11.0,23,20,20,4,3,0,9,1,0,0,63,28,7.31,2.364,18.8,3.3,2.5,7.4,3.00,,hunteto02
546,Jason Motte,26,STL,NL,0.5,0,0,,0.82,12,0,4,0,0,1,11.0,5,2,1,0,3,0,16,0,0,0,40,532,1.04,0.727,4.1,0.0,2.5,13.1,5.33,,motteja01
547,Brian Sanches,29,WSN,NL,-0.3,2,0,1.000,7.36,12,0,2,0,0,0,11.0,16,10,9,2,5,0,10,1,0,0,54,60,5.31,1.909,13.1,1.6,4.1,8.2,2.00,,sanchbr01
548,Fernando Nieve,25,HOU,NL,-0.3,0,1,.000,8.44,11,0,1,0,0,0,10.2,17,10,10,2,2,0,12,0,0,0,49,52,3.88,1.781,14.3,1.7,1.7,10.1,6.00,,nievefe01
549,Jimmy Barthmaier,24,PIT,NL,-0.5,0,2,.000,10.45,3,3,0,0,0,0,10.1,16,12,12,3,8,0,6,0,0,0,53,41,8.07,2.323,13.9,2.6,7.0,5.2,0.75,,barthji01
550,Tyler Clippard,23,WSN,NL,0.1,1,1,.500,4.35,2,2,0,0,0,0,10.1,12,5,5,2,7,1,8,0,0,1,48,102,6.13,1.839,10.5,1.7,6.1,7.0,1.14,,clippty01
551,José Mijares*,23,MIN,AL,0.5,0,1,.000,0.87,10,0,3,0,0,0,10.1,3,1,1,0,0,0,5,0,0,1,34,497,2.16,0.290,2.6,0.0,0.0,4.4,,,mijarjo01
552,Chad Paronto,32,HOU,NL,0.1,0,1,.000,4.35,6,0,3,0,0,0,10.1,11,5,5,2,2,0,4,0,0,0,41,100,5.45,1.258,9.6,1.7,1.7,3.5,2.00,,paronch01
553,Les Walrond*,31,PHI,NL,-0.2,1,1,.500,6.10,6,0,1,0,0,0,10.1,13,7,7,0,9,4,12,0,0,2,49,74,3.42,2.129,11.3,0.0,7.8,10.5,1.33,,walrole01
