"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Domínguez, Seranthony","622554","97.7","97.8",,,,"83.7","87.2",,"86.4",
"Gómez, Yoendrys","672782","93.8","93.2","90.3","86.8","89.3","80.8",,,"82.2",
"Zerpa, Angel","672582","96.2","96.6",,"85.1","90.8",,,,,
"Manaea, Sean","640455","91.7",,,,"84.7",,,,"77.7",
"Vargas, Carlos","672841","97.7","97.6","95.2","90.4","93.5",,,,,
"Buttó, José","676130","95.2","94.7",,"86.5","88.4",,,,"83.6",
"Jax, Griffin","643377","97","96.5","93.4",,"92.3","86.7",,,"87.8",
"Wrobleski, Justin","680736","96","95","92.1","87.8","88.1","81.4",,,,
"Sterner, Justin","686993","93.5",,"87.4",,,,,,"81.5",
"Montero, Rafael","606160","95.1","95",,"85.1",,,"87.9",,,
"Lynch IV, Daniel","663738","94.1","93.8",,"86.8","86","82.6",,,,
"Adam, Jason","592094","94.6",,"85.9","83.9","88.2",,,,"77.5",
"Banks, Tanner","621383","92.7","92.2",,"87.3","82.9",,,,"82.1",
"Detmers, Reid","672282","95.8","95.6",,"88.3","85.3","73.6",,,,
"Ragans, Cole","666142","95.3",,"89.9","84.7","84.4","80.1",,,,
"Suarez, Robert","663158","98.6","98.4","91.5",,"90.5",,,,,
"Mejia, Juan","675848","96.6",,,,"91.7",,,,"83.2",
"Duran, Jhoan","661395","100.6",,,,,"87.6","97.8",,"87.2",
"Kerkering, Orion","689147","97.5","96.4",,,,,,,"86.8",
"Weissert, Greg","669711","94.1","93.9",,"85.6","86","81.1",,,"81.4",
"Pagán, Emilio","641941","95.8",,"86.9",,,,"83.9",,,
"Díaz, Edwin","621242","97.2",,,"89.1","94.5",,,,,
"Varland, Louis","686973","98.1","96.9",,"91.6","91.9","88",,,,
"Banda, Anthony","607455","95.9","95.8",,"85.9","89.9",,,,,
"Matsui, Yuki","673513","92.1","91.5",,"86.6",,"74.8","84",,"81.4",
"Stanek, Ryne","592773","98.6",,,"88.8",,,"89.3",,"84.4",
"Alcala, Jorge","660896","97.4","96.8",,"89.9","90.5","85.4",,,,
"Akin, Keegan","669211","93.7",,,"85.6","86.6",,,,,
"Faucher, Calvin","676534","96","95.8","92.1",,"90.9","86.1",,,"87.5",
"Hurter, Brant","676428","92.1","92.3",,,"85.8",,,,"82.2",
"Okert, Steven","595345","92",,"91.2","80.9","85.9",,,,,
"Weaver, Luke","596133","95.1",,"91.5","86.9","88.1",,,,,
"Gaddis, Hunter","683769","94.7",,,"88.8","78.8",,,,,
"Schreiber, John","670167","93.8","93.3","89.5",,"86.1",,,,"82.4",
"King, Bryan","687911","92","91",,,"87.2","75.7",,,"80.1",
"Estévez, Carlos","608032","95.9",,,"87.3","87.9",,,,,
"Koenig, Jared","657649","96.5","95.8","90.8",,"86.6","81.7",,,,
"Ferguson, Caleb","657571","93.9","93.9","88.6",,,,,,,"80.5"
"Meyer, Max","676974","95","94.2",,"89.8","89.3",,,,"86.7",
"Ashcraft, Graham","668933",,,"97.1","89.8",,,,,,
"Kahnle, Tommy","592454","93.5",,,"86.4","86.7",,,,,
"Muñoz, Andrés","662253","98.4","97.8",,"86.1","91.6",,,,,
"Ashby, Aaron","676879","96.9","97.5",,"84.2","91.4","82.2",,,,
"Blalock, Bradley","687134","94.6",,"89.8","85.3",,"81","86.8",,,
"Junis, Jakob","596001","91.2","91.1",,,"86.3",,,,"83",
"Soto, Gregory","642397","97.2","96.8",,"86.2",,,"89.1",,"84.3",
"Zeferjahn, Ryan","666171","97.4","96.6","91","88.2",,"83.9",,,"83.9",
"Snell, Blake","605483","95.1",,,"88.2","85.5","80.6",,,,
"Bednar, David","670280","97.1",,,,,"77.6","92.3",,,
"Vesia, Alex","681911","92.7",,,"84.8","83.8",,,,,
"Chivilli, Angel","683409","97.1",,,"90.2","88.7",,,,,
"Walker, Ryan","676254","95.1","96",,"84","91.3",,,,,
"Yarbrough, Ryan","642232","88.3","86.9","83.2",,"77.9",,,,"71.8",
"Burke, Brock","656271","96.1","93.5",,"87.9","88.8",,,,,
"Brazobán, Huascar","623211","96.5","96.4","91","87.7","90.8",,,,,
"Burnes, Corbin","669203",,"95.6","94.1","87.8","88.3","80",,,,
"Maton, Phil","664208",,"89.6","90.6",,,"75.9",,,"83.6",
"Santana, Dennis","642701","94.7","94.6","90.6","87","88.5",,,,,
"Allard, Kolby","663465","90.1","90.6","84.9",,"81.4","72.1",,,,
"Morejon, Adrian","670970","96.5","97.7","94","87.5","90.5",,,"86.3",,
"Gomber, Austin","596295","89.4","89.9","86","82.4","81","76","81",,,
"Seymour, Ian","693855","91.6","90.7","88.3","82.7","83.6","74.4",,,"81",
"Strahm, Matt","621381","92.3","92.4","87.7","82.6","83.1",,,,,
"Romero, JoJo","668941","94.2","93.7","90",,"87.3",,,,"83","82.5"
"Ferguson, Tyler","621053","94.8","94.2","89.8",,"86.3",,,,"83.7",
"Fairbanks, Pete","664126","97.3",,"90.6","85.3","94.2",,,,,
"Cano, Yennier","666974","94.9","95.1","92","87.2","91.8",,"90.6",,"86.1",
"Helsley, Ryan","664854","99.3",,"93.5","88.9",,"80.7",,,,
"Garrett, Reed","657585","97.9","97","92.5",,,,"89.1",,"86.4",
"Topa, Justin","623437",,"94.2","91.2",,"87.1",,,,"82.9",
"Rogers, Tyler","643511",,"83.5",,"74.1",,,,,,
"Webb, Jacob","657097","93.4",,,,"84.9",,,,"82",
"Wilson, Steven","621051","93.9",,"90.7",,"84.9",,,,"82.1",
"Miller, Mason","695243","101.2",,,"87.8","92.9",,,,,
"Garcia, Robert","676395","94.4",,,"86.9","88.9",,,,,
"Gil, Luis","661563","95.3",,,"86.7","90.8",,,,,
"Johnson, Pierce","572955","95.3",,"92.4",,,"85.8",,,,
"Henry, Cole","669371","94.4","94.5","87.7",,"87.3",,,,"80.8",
"Iglesias, Raisel","628452","94.9","94.7",,"83.7","88.8",,,,,
"Woodruff, Brandon","605540","93.1","92.9","89.5",,"83.6","78.6",,,"80.7",
"Svanson, Matt","694335","96.5","96.8","92.2",,,,,,"87.2",
"Erceg, Lucas","668674","97.6","97.5",,"85","90",,,,,
"Bird, Jake","656234",,"94.4","92.6",,,"80.6",,,"84",
"Hanifee, Brenan","669724","96.1","95.2",,"87.7","89.8",,,,,
"Young, Brandon","687064","93.8",,"86.8","83.3","87.1","76.1","87.3",,,
"Boyle, Joe","671212","98.5",,,"90.8",,,"93",,"82.5",
"Ureña, José","570632","96.3","96.1",,"87.6","88.8",,"85",,,
"Bummer, Aaron","607481","91.6","90.8","88.1",,,"81",,,"81.2",
"Dobbins, Hunter","690928","95.5","95",,"87.7",,"78.7","90.5",,"81.3",
"Speier, Gabe","642100","95","94.4",,"83.2",,,,,,
"Vodnik, Victor","680767","98.7","99.4","92.3","87.3","92",,,,,
"Chapman, Aroldis","547973","98.4","99.4",,"86.7",,,"91.2",,,
"Beeks, Jalen","656222","94.4",,"84.2",,"88.8",,,,,
"Scott, Tanner","656945","96.5","94.8",,"88.9",,,,,,
"Gibson, Cade","806188","91.9","91.6",,"85.4","84.9","78.8",,,"79.6",
"Pérez, Martín","527048","89.6","89.6","86",,"82.3","76.4",,,,
"Hill, Tim","657612","89.9","88.4","84.7",,,,,,,
"García, Luis","472610","96.8","96.9",,,,,"88.6",,"82.9",
"Rogers, Taylor","573124",,"92.7",,,,,,,"78.2",
"Festa, David","701581","94.1","93.9",,"87.6","87.8",,,,,
"Jobe, Jackson","695549","96.5","95.2",,"88.9","85.3","81.6",,,"81.7",
"Cleavinger, Garrett","664076","97.1","96.3","90.7","87.1",,,,,"81.2",
"Jansen, Kenley","445276",,"93.2","92.8","83.9",,,,,"82",
"Clarke, Taylor","664199","94.8","94.7",,"87.5","89.7",,,,,
"Ross, Joe","605452","94.2","94.6",,"87.2","90","83.5",,,,
"Waldrep, Hurston","694462","95.2","95.9","93.1","87.2",,"82.7","86.8",,,
"Legumina, Casey","668984","94.3","93.9",,,"87.7",,,,"81.1",
"Fluharty, Mason","689254",,"91.6","90.2",,,,,,"81.7",
"Montgomery, Mason","682254","98.7",,,"89.7",,,,,,
"Wilson, Bryse","669060","92.6","91.9","88",,"85.9","80.8",,,,
"Hader, Josh","623352",,"95.5",,"83.3","88.7",,,,,
"Finnegan, Kyle","640448","96.3",,,"84.3",,,"87.4",,,
"Mears, Nick","683232","95.4",,,"86.6",,"82.7",,,,
"Trivino III, Lou","642152","94.8","95.2","91.8",,"87.3","78.7",,,"80.5",
"Palencia, Daniel","694037","99.6","97.9",,"88.5",,"82.2","88.3",,,
"Brogdon, Connor","641401","95.5",,"86.8",,"84",,,,,
"Thielbar, Caleb","573204","92.8",,,"88.6",,"76",,,"80.9",
"Gilbert, Tyler","656457","90.5","89.9","87.7",,,,"83",,"81.1",
"Fisher, Braydon","680755","95.5",,"92.8","87.8",,"82.9",,,,
"Bernardino, Brennan","657514","92.6","90.7","86.5","83.9","79.8","79.2",,,,
"Leiter Jr., Mark","643410","93.5","93.7","91.2","83.4",,"74.1","85.8",,,
"Myers, Tobias","668964","93.5",,"87.6","84.4","80.1","76.4","83.1",,,
"Brash, Matt","666374","95.8","96.4",,"86","90","83.8",,,,
"Morales, Luis","806960","97.2","98.5",,"85.9","89.8",,,,"82.3",
"Festa, Matt","670036","92.1","93.2","90.6",,,,,,"83.1",
"Beck, Tristan","663941","94.7",,,"89.8",,"80.6",,,"83.1",
"Wilson, Justin","458677","94.5",,"91.4","88",,,"85.1",,,
"Walter, Brandon","687888","91.8","91.5","88.2",,"80.9",,,,"79.5",
